Genes	biological_process	cellular_component	molecular_function	kegg_pathway
SERPINE1	NA	GO:0005615(extracellular space)	NA	ko04115(p53 signaling pathway);ko04371(Apelin signaling pathway);ko04066(HIF-1 signaling pathway);ko04390(Hippo signaling pathway);ko04610(Complement and coagulation cascades)
SERPINF1	NA	GO:0005615(extracellular space)	NA	ko04310(Wnt signaling pathway)
SERPINF2	NA	GO:0005615(extracellular space)	NA	ko04610(Complement and coagulation cascades)
SERPING1	GO:0045916(negative regulation of complement activation);GO:0030193(regulation of blood coagulation)	GO:0005615(extracellular space)	GO:0004867(serine-type endopeptidase inhibitor activity)	ko04610(Complement and coagulation cascades)
SESN1	GO:1901031(regulation of response to reactive oxygen species)	GO:0005634(nucleus)	NA	ko04115(p53 signaling pathway);ko04211(Longevity regulating pathway - mammal)
SF3A1	GO:0006396(RNA processing)	NA	GO:0003723(RNA binding)	ko03040(Spliceosome)
SF3B1	GO:0060216(definitive hemopoiesis);GO:0060218(hematopoietic stem cell differentiation);GO:0030318(melanocyte differentiation);GO:0061515(myeloid cell development);GO:0014032(neural crest cell development);GO:0042981(regulation of apoptotic process);GO:0000245(spliceosomal complex assembly)	NA	GO:0003729(mRNA binding)	ko03040(Spliceosome)
SF3B2	NA	GO:0005634(nucleus)	NA	ko03040(Spliceosome)
SF3B4	GO:0048026(positive regulation of mRNA splicing, via spliceosome)	GO:0005730(nucleolus);GO:0005634(nucleus);GO:1990904(ribonucleoprotein complex);GO:0005681(spliceosomal complex);GO:0005689(U12-type spliceosomal complex)	GO:0003723(RNA binding)	ko03040(Spliceosome)
SF3B5	GO:0000398(mRNA splicing, via spliceosome)	GO:0071011(precatalytic spliceosome);GO:0005686(U2 snRNP)	GO:0003723(RNA binding)	ko03040(Spliceosome)
SF3B6	NA	NA	GO:0003723(RNA binding)	ko03040(Spliceosome)
SGK2	NA	NA	GO:0005524(ATP binding);GO:0004674(protein serine/threonine kinase activity)	ko04068(FoxO signaling pathway);ko04151(PI3K-Akt signaling pathway)
SGPP1	NA	GO:0016021(integral component of membrane)	NA	ko04071(Sphingolipid signaling pathway);ko00600(Sphingolipid metabolism)
SH3GLB1	NA	GO:0005737(cytoplasm)	NA	ko04140(Autophagy - animal);ko04144(Endocytosis)
SHMT1	GO:0019264(glycine biosynthetic process from serine);GO:0032259(methylation);GO:0035999(tetrahydrofolate interconversion)	NA	GO:0004372(glycine hydroxymethyltransferase activity);GO:0008168(methyltransferase activity);GO:0030170(pyridoxal phosphate binding)	ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00680(Methane metabolism);ko00670(One carbon pool by folate);ko00460(Cyanoamino acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
SHMT2	GO:0019264(glycine biosynthetic process from serine);GO:0035999(tetrahydrofolate interconversion)	NA	GO:0004372(glycine hydroxymethyltransferase activity);GO:0030170(pyridoxal phosphate binding)	ko00260(Glycine, serine and threonine metabolism);ko00630(Glyoxylate and dicarboxylate metabolism);ko00680(Methane metabolism);ko00670(One carbon pool by folate);ko00460(Cyanoamino acid metabolism);ko01230(Biosynthesis of amino acids);ko01200(Carbon metabolism)
SKP1	GO:0035518(histone H2A monoubiquitination);GO:0051457(maintenance of protein location in nucleus);GO:0016567(protein ubiquitination);GO:0031146(SCF-dependent proteasomal ubiquitin-dependent protein catabolic process);GO:0006511(ubiquitin-dependent protein catabolic process)	GO:0005813(centrosome);GO:0031467(Cul7-RING ubiquitin ligase complex);GO:0005737(cytoplasm);GO:0005829(cytosol);GO:0005634(nucleus);GO:0019005(SCF ubiquitin ligase complex);GO:0031519(PcG protein complex)	GO:0008013(beta-catenin binding);GO:0097602(cullin family protein binding);GO:0019904(protein domain specific binding);GO:0004842(ubiquitin-protein transferase activity);GO:0061630(ubiquitin protein ligase activity);GO:0016301(kinase activity);GO:0004806(triglyceride lipase activity)	ko04110(Cell cycle);ko04111(Cell cycle - yeast);ko04114(Oocyte meiosis);ko04341(Hedgehog signaling pathway - fly);ko04350(TGF-beta signaling pathway);ko04310(Wnt signaling pathway);ko04141(Protein processing in endoplasmic reticulum);ko04120(Ubiquitin mediated proteolysis);ko04710(Circadian rhythm)
SLC16A10	NA	GO:0005887(integral component of plasma membrane)	GO:0015173(aromatic amino acid transmembrane transporter activity);GO:0015349(thyroid hormone transmembrane transporter activity)	ko04974(Protein digestion and absorption);ko04919(Thyroid hormone signaling pathway)
SLC25A10	GO:0006839(mitochondrial transport)	GO:0016021(integral component of membrane);GO:0031966(mitochondrial membrane)	NA	ko04964(Proximal tubule bicarbonate reclamation)
SLC25A5	NA	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane)	GO:0022857(transmembrane transporter activity)	ko04217(Necroptosis);ko04020(Calcium signaling pathway);ko04022(cGMP - PKG signaling pathway)
SLC25A6	NA	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane)	GO:0022857(transmembrane transporter activity);GO:0005471(ATP:ADP antiporter activity)	ko04217(Necroptosis);ko04020(Calcium signaling pathway);ko04022(cGMP - PKG signaling pathway)
SLC27A1	NA	GO:0016021(integral component of membrane)	GO:0015245(fatty acid transmembrane transporter activity);GO:0004467(long-chain fatty acid-CoA ligase activity);GO:0031957(very long-chain fatty acid-CoA ligase activity)	ko03320(PPAR signaling pathway)
SLC27A2	GO:0006699(bile acid biosynthetic process)	GO:0016021(integral component of membrane)	GO:0003824(catalytic activity);GO:0015245(fatty acid transmembrane transporter activity);GO:0004467(long-chain fatty acid-CoA ligase activity);GO:0031957(very long-chain fatty acid-CoA ligase activity)	ko04146(Peroxisome);ko03320(PPAR signaling pathway)
SLC27A6	GO:0015908(fatty acid transport)	GO:0016021(integral component of membrane)	GO:0004467(long-chain fatty acid-CoA ligase activity);GO:0031957(very long-chain fatty acid-CoA ligase activity)	ko03320(PPAR signaling pathway)
SLC2A1	GO:0002040(sprouting angiogenesis)	GO:0016021(integral component of membrane)	GO:0055056(D-glucose transmembrane transporter activity)	ko04066(HIF-1 signaling pathway);ko04976(Bile secretion);ko04920(Adipocytokine signaling pathway);ko04922(Glucagon signaling pathway);ko04911(Insulin secretion);ko04919(Thyroid hormone signaling pathway)
SLC2A2	NA	GO:0016021(integral component of membrane)	GO:0022857(transmembrane transporter activity)	ko04973(Carbohydrate digestion and absorption);ko04922(Glucagon signaling pathway);ko04911(Insulin secretion);ko04917(Prolactin signaling pathway)
SLC2A5	NA	GO:0016021(integral component of membrane)	GO:0022857(transmembrane transporter activity)	ko04973(Carbohydrate digestion and absorption)
SLC31A1	NA	GO:0016021(integral component of membrane)	GO:0005375(copper ion transmembrane transporter activity)	ko04978(Mineral absorption)
SLC37A4	GO:0048545(response to steroid hormone)	GO:0016021(integral component of membrane)	GO:0022857(transmembrane transporter activity)	ko04973(Carbohydrate digestion and absorption)
SLC38A3	NA	GO:0016021(integral component of membrane)	NA	ko04964(Proximal tubule bicarbonate reclamation);ko04727(GABAergic synapse);ko04724(Glutamatergic synapse)
SLC39A8	NA	GO:0016021(integral component of membrane)	GO:0046873(metal ion transmembrane transporter activity)	ko04216(Ferroptosis)
SLC3A2	GO:0006865(amino acid transport);GO:0005975(carbohydrate metabolic process);GO:0060142(regulation of syncytium formation by plasma membrane fusion)	GO:0016021(integral component of membrane)	GO:0003824(catalytic activity)	ko04216(Ferroptosis);ko04150(mTOR signaling pathway);ko04974(Protein digestion and absorption)
SLC51A	NA	GO:0016021(integral component of membrane)	NA	ko04976(Bile secretion)
SLC51B	GO:0015721(bile acid and bile salt transport)	GO:0016021(integral component of membrane);GO:0005886(plasma membrane)	GO:0046982(protein heterodimerization activity);GO:0022857(transmembrane transporter activity)	ko04976(Bile secretion)
SLC5A7	NA	GO:0016021(integral component of membrane)	GO:0022857(transmembrane transporter activity)	ko04725(Cholinergic synapse)
SLC9A3R1	NA	GO:0012505(endomembrane system);GO:0016020(membrane)	GO:0060090(molecular adaptor activity)	ko04530(Tight junction)
SLCO1C1	NA	GO:0016021(integral component of membrane);GO:0005886(plasma membrane)	GO:0008514(organic anion transmembrane transporter activity);GO:0015349(thyroid hormone transmembrane transporter activity)	ko04919(Thyroid hormone signaling pathway)
SMAD5	GO:0048514(blood vessel morphogenesis);GO:0030509(BMP signaling pathway);GO:0048264(determination of ventral identity);GO:0060030(dorsal convergence);GO:0009880(embryonic pattern specification);GO:0060022(hard palate development);GO:0001947(heart looping);GO:0001945(lymph vessel development);GO:0043049(otic placode formation);GO:0060037(pharyngeal system development);GO:0045893(positive regulation of transcription, DNA-templated);GO:0036342(post-anal tail morphogenesis);GO:0048922(posterior lateral line neuromast deposition);GO:2000223(regulation of BMP signaling pathway involved in heart jogging);GO:0007179(transforming growth factor beta receptor signaling pathway)	GO:0005737(cytoplasm);GO:0005634(nucleus);GO:0005667(transcription factor complex)	GO:0003700(DNA-binding transcription factor activity);GO:0046982(protein heterodimerization activity);GO:0044212(transcription regulatory region DNA binding);GO:0003677(DNA binding)	ko04550(Signaling pathways regulating pluripotency of stem cells);ko04350(TGF-beta signaling pathway)
SMNDC1	GO:0006397(mRNA processing)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0003723(RNA binding)	ko03040(Spliceosome)
SMPD1	GO:0006685(sphingomyelin catabolic process)	NA	GO:0016798(hydrolase activity, acting on glycosyl bonds);GO:0046872(metal ion binding);GO:0004767(sphingomyelin phosphodiesterase activity)	ko04217(Necroptosis);ko04142(Lysosome);ko04071(Sphingolipid signaling pathway);ko00600(Sphingolipid metabolism)
SNF8	GO:0071985(multivesicular body sorting pathway);GO:0015031(protein transport)	GO:0000814(ESCRT II complex)	NA	ko04144(Endocytosis)
SNRNP27	GO:0008380(RNA splicing)	NA	NA	ko03040(Spliceosome)
SNRNP70	NA	NA	GO:0030619(U1 snRNA binding)	ko03040(Spliceosome)
SNRPB2	NA	NA	GO:0003723(RNA binding)	ko03040(Spliceosome)
SNRPC	GO:0000395(mRNA 5-splice site recognition);GO:0000381(regulation of alternative mRNA splicing, via spliceosome);GO:0000387(spliceosomal snRNP assembly)	GO:0000243(commitment complex);GO:0005685(U1 snRNP);GO:0071004(U2-type prespliceosome)	GO:0003729(mRNA binding);GO:0030619(U1 snRNA binding);GO:0008270(zinc ion binding)	ko03040(Spliceosome)
SNRPD1	GO:0000387(spliceosomal snRNP assembly);GO:0007507(heart development)	GO:0005634(nucleus)	NA	ko03040(Spliceosome)
SNRPD2	GO:0006397(mRNA processing);GO:0008380(RNA splicing)	GO:0030532(small nuclear ribonucleoprotein complex)	NA	ko03040(Spliceosome)
SNRPG	GO:0000387(spliceosomal snRNP assembly)	GO:0005681(spliceosomal complex)	GO:0003723(RNA binding)	ko03040(Spliceosome)
SNRPN	NA	GO:0005634(nucleus)	GO:0003723(RNA binding)	ko03040(Spliceosome)
SNU13	GO:0042254(ribosome biogenesis);GO:0061053(somite development)	GO:0005730(nucleolus);GO:1990904(ribonucleoprotein complex)	GO:0003723(RNA binding)	ko03040(Spliceosome);ko03008(Ribosome biogenesis in eukaryotes)
SNUPN	GO:0006606(protein import into nucleus);GO:0061015(snRNA import into nucleus)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0061608(nuclear import signal receptor activity)	ko03013(RNA transport)
SNX12	NA	NA	GO:0035091(phosphatidylinositol binding)	ko04144(Endocytosis)
SNX3	GO:0030218(erythrocyte differentiation);GO:0006783(heme biosynthetic process);GO:0042541(hemoglobin biosynthetic process)	NA	GO:1901981(phosphatidylinositol phosphate binding)	ko04144(Endocytosis)
SOCS3	GO:0035556(intracellular signal transduction);GO:0043066(negative regulation of apoptotic process);GO:0016567(protein ubiquitination);GO:0007259(receptor signaling pathway via JAK-STAT)	NA	NA	ko04630(Jak-STAT signaling pathway);ko04668(TNF signaling pathway);ko04120(Ubiquitin mediated proteolysis);ko04380(Osteoclast differentiation);ko04920(Adipocytokine signaling pathway);ko04910(Insulin signaling pathway);ko04917(Prolactin signaling pathway)
SOD1	GO:0070050(neuron cellular homeostasis);GO:0010038(response to metal ion);GO:0051597(response to methylmercury);GO:0009410(response to xenobiotic stimulus)	GO:0005623(cell)	GO:0046872(metal ion binding);GO:0004784(superoxide dismutase activity)	ko04146(Peroxisome);ko04213(Longevity regulating pathway - multiple species)
SOD2	NA	NA	GO:0046872(metal ion binding);GO:0004784(superoxide dismutase activity)	ko04146(Peroxisome);ko04068(FoxO signaling pathway);ko04013(MAPK signaling pathway - fly);ko04211(Longevity regulating pathway - mammal);ko04213(Longevity regulating pathway - multiple species);ko04212(Longevity regulating pathway - worm)
SORD	NA	NA	GO:0016491(oxidoreductase activity);GO:0008270(zinc ion binding)	ko00051(Fructose and mannose metabolism);ko00040(Pentose and glucuronate interconversions)
SPCS1	GO:0006465(signal peptide processing)	GO:0016021(integral component of membrane);GO:0005787(signal peptidase complex)	GO:0008233(peptidase activity)	ko03060(Protein export)
SPCS2	GO:0006465(signal peptide processing)	GO:0016021(integral component of membrane);GO:0005787(signal peptidase complex)	GO:0008233(peptidase activity)	ko03060(Protein export)
SPCS3	GO:0006465(signal peptide processing)	GO:0016021(integral component of membrane);GO:0005787(signal peptidase complex)	GO:0008233(peptidase activity)	ko03060(Protein export)
SPR	GO:0006729(tetrahydrobiopterin biosynthetic process)	NA	GO:0004757(sepiapterin reductase activity)	ko00790(Folate biosynthesis)
SPTLC1	GO:0009058(biosynthetic process)	GO:0016021(integral component of membrane)	GO:0003824(catalytic activity);GO:0030170(pyridoxal phosphate binding);GO:0016740(transferase activity)	ko04138(Autophagy - yeast);ko04071(Sphingolipid signaling pathway);ko00600(Sphingolipid metabolism)
SQLE	GO:0016126(sterol biosynthetic process)	GO:0016021(integral component of membrane)	GO:0050660(flavin adenine dinucleotide binding);GO:0004506(squalene monooxygenase activity)	ko00100(Steroid biosynthesis);ko00909(Sesquiterpenoid and triterpenoid biosynthesis)
SQOR	NA	NA	GO:0016491(oxidoreductase activity)	ko00920(Sulfur metabolism)
SQSTM1	NA	NA	GO:0008270(zinc ion binding)	ko04217(Necroptosis);ko04137(Mitophagy - animal);ko04380(Osteoclast differentiation)
SRD5A2	GO:0008202(steroid metabolic process)	GO:0016021(integral component of membrane)	GO:0003865(3-oxo-5-alpha-steroid 4-dehydrogenase activity);GO:0047751(cholestenone 5-alpha-reductase activity)	ko00140(Steroid hormone biosynthesis)
SRP14	GO:0006614(SRP-dependent cotranslational protein targeting to membrane)	GO:0005786(signal recognition particle, endoplasmic reticulum targeting)	GO:0008312(7S RNA binding);GO:0030942(endoplasmic reticulum signal peptide binding)	ko03060(Protein export)
SRP19	GO:0006614(SRP-dependent cotranslational protein targeting to membrane)	GO:0048500(signal recognition particle)	GO:0008312(7S RNA binding)	ko03060(Protein export)
SRP54	GO:0006614(SRP-dependent cotranslational protein targeting to membrane);GO:0031017(exocrine pancreas development);GO:0030593(neutrophil chemotaxis)	GO:0005786(signal recognition particle, endoplasmic reticulum targeting)	GO:0008312(7S RNA binding);GO:0005525(GTP binding);GO:0003924(GTPase activity)	ko02024(Quorum sensing);ko03070(Bacterial secretion system);ko03060(Protein export)
SRP68	GO:0006614(SRP-dependent cotranslational protein targeting to membrane)	GO:0005786(signal recognition particle, endoplasmic reticulum targeting)	GO:0008312(7S RNA binding);GO:0030942(endoplasmic reticulum signal peptide binding);GO:0005047(signal recognition particle binding)	ko03060(Protein export)
SRP72	GO:0006614(SRP-dependent cotranslational protein targeting to membrane)	GO:0005786(signal recognition particle, endoplasmic reticulum targeting)	GO:0008312(7S RNA binding)	ko03060(Protein export)
SRP9	GO:0045900(negative regulation of translational elongation);GO:0006614(SRP-dependent cotranslational protein targeting to membrane)	GO:0005786(signal recognition particle, endoplasmic reticulum targeting)	GO:0008312(7S RNA binding)	ko03060(Protein export)
SRPRA	GO:0006614(SRP-dependent cotranslational protein targeting to membrane)	GO:0005785(signal recognition particle receptor complex)	GO:0005525(GTP binding);GO:0003924(GTPase activity);GO:0005047(signal recognition particle binding)	ko03060(Protein export)
